Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
848,1:48.02,Werner BOTHA,31 JAN 1978,RSA,5,,Brazzaville (CGO),17 JUL 2004,1083,/athletes/athlete=14219771
852,1:48.03,Antoine MARTIAK,28 JAN 1983,FRA,1,,St-Maur (FRA),02 JUN 2004,1083,/athletes/athlete=14186332
852,1:48.03,Moise JOSEPH,27 DEC 1981,HAI,3h1,,"Austin, TX (USA)",10 JUN 2004,1083,/athletes/athlete=14195812
852,1:48.03,Grzegorz KRZOSEK,10 JAN 1976,POL,2,,Bydgoszcz (POL),03 JUL 2004,1083,/athletes/athlete=14216992
855,1:48.04,Dan MURRAY,07 NOV 1981,USA,5,,"Palo Alto, CA (USA)",30 APR 2004,1083,/athletes/athlete=14246868
855,1:48.04,Gert-Jan LIEFERS,26 SEP 1978,NED,3,,Hoorn (NED),15 MAY 2004,1083,/athletes/athlete=14214149
855,1:48.04,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,1,,"Manhattan, KS (USA)",15 MAY 2004,1083,/athletes/athlete=14211025
855,1:48.04,Mariusz WALCZAK,30 MAY 1975,POL,2,,Gdansk (POL),10 JUL 2004,1083,/athletes/athlete=14217784
859,1:48.05,Mouhssin CHEHIBI,28 JAN 1978,MAR,2,,Tergnier (FRA),20 MAY 2004,1082,/athletes/athlete=14211969
859,1:48.05,Bryan WOODWARD,03 MAR 1974,USA,6,,"Carson, CA (USA)",22 MAY 2004,1082,/athletes/athlete=14255505
859,1:48.05,Joel LEGARE,13 NOV 1982,USA,3,,"Gainesville, FL (USA)",29 MAY 2004,1082,/athletes/athlete=14243874
859,1:48.05,Roman ORAVEC,05 APR 1978,CZE,10f2,,Heusden-Zolder (BEL),31 JUL 2004,1082,/athletes/athlete=14168467
863,1:48.06,Edward Kibet MUTAI,28 AUG 1984,KEN,3,,Luxembourg (LUX),21 FEB 2004,1082,/athletes/athlete=14209253
863,1:48.06,Evan ALLEN,11 JUL 1980,JAM,3,,Kingston (JAM),07 MAY 2004,1082,/athletes/athlete=14201788
863,1:48.06,Antoine MARTIAK,28 JAN 1983,FRA,1,,Forbach (FRA),29 MAY 2004,1082,/athletes/athlete=14186332
863,1:48.06,Chris LUKEZIC,24 APR 1984,USA,7,,"Chapel Hill, NC (USA)",26 JUN 2004,1082,/athletes/athlete=14244520
863,1:48.06,José Manuel CORTÉS,10 JUN 1983,ESP,9,,San Sebastián (ESP),03 JUL 2004,1082,/athletes/athlete=14166813
863,1:48.06,Christian SMITH,31 OCT 1983,USA,5h2,,"Sacramento, CA (USA)",09 JUL 2004,1082,/athletes/athlete=14251566
863,1:48.06,Jimmy LOMBA,30 JUN 1978,FRA,2h2,,Sotteville-lès-Rouen (FRA),16 JUL 2004,1082,/athletes/athlete=14186108
870,1:48.07,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,2,,"Norman, OK (USA)",01 MAY 2004,1082,/athletes/athlete=14211025
870,1:48.07,Brandon SHAW,11 SEP 1981,USA,11,,"Los Angeles, CA (USA)",27 JUN 2004,1082,/athletes/athlete=14251036
870,1:48.07,James WATKINS,30 OCT 1982,GBR,4,,Merksem (BEL),04 SEP 2004,1082,/athletes/athlete=14191161
873,1:48.08,Abdelslam KENNOUCHE,07 OCT 1980,ALG,1,,Castres (FRA),04 AUG 2004,1081,/athletes/athlete=14180719
874,1:48.09,Kris LANDERS,10 MAR 1982,USA,5,,Oxford (GBR),16 MAY 2004,1081,/athletes/athlete=14243580
874,1:48.09,Arnoud OKKEN,20 APR 1982,NED,5,,Nijmegen (NED),22 MAY 2004,1081,/athletes/athlete=14214233
874,1:48.09,Neil SPEAIGHT,09 SEP 1978,GBR,2,,Szombathely (HUN),29 MAY 2004,1081,/athletes/athlete=14190843
874,1:48.09,Fernando ALMEIDA,22 JUN 1981,POR,2,,Alcalá de Henáres (ESP),04 JUL 2004,1081,/athletes/athlete=14217988
874,1:48.09,David KRUMMENACKER,24 MAY 1975,USA,8h2,,"Sacramento, CA (USA)",09 JUL 2004,1081,/athletes/athlete=14243399
879,1:48.10,Driss MAAZOUZI,15 OCT 1969,FRA,2,,Albi (FRA),28 MAY 2004,1081,/athletes/athlete=14186182
879,1:48.10,Christian NEUNHÄUSERER,21 JUN 1978,ITA,8,,Torino (ITA),04 JUN 2004,1081,/athletes/athlete=14200984
879,1:48.10,Mirosław FORMELA,31 OCT 1978,POL,6,,Bydgoszcz (POL),05 JUN 2004,1081,/athletes/athlete=14216628
879,1:48.10,Alfred KIPROTICH,,KEN,4,,Nairobi (KEN),19 JUN 2004,1081,/athletes/kenya/alfred-kiprotich-014208419
879,1:48.10,Aleksandr SKVORTSOV,30 OCT 1974,RUS,2,,Tula (RUS),25 JUN 2004,1081,/athletes/athlete=14224050
879,1:48.10,René HERMS,17 JUL 1982,GER,8,,"Olympiastadion, Berlin (GER)",12 SEP 2004,1081,/athletes/athlete=14192509
885,1:48.11,Khadevis ROBINSON,19 JUL 1976,USA,2,,"Palo Alto, CA (USA)",31 MAY 2004,1081,/athletes/athlete=14249779
885,1:48.11,Abdoulaye WAGNE,30 JAN 1981,SEN,1,,Lignano (ITA),06 JUN 2004,1081,/athletes/athlete=14224870
885,1:48.11,Oleh LOBANOV,02 NOV 1984,UKR,1,,Minsk (BLR),25 JUN 2004,1081,/athletes/athlete=14230222
885,1:48.11,Zachary WHITMARSH,05 APR 1977,CAN,1,,Victoria (CAN),03 JUL 2004,1081,/athletes/athlete=14173311
885,1:48.11,Neil SPEAIGHT,09 SEP 1978,GBR,2,,Bangor (GBR),16 JUL 2004,1081,/athletes/athlete=14190843
885,1:48.11,John LITEI,02 JUN 1983,KEN,1,,Ingolstadt (GER),17 JUL 2004,1081,/athletes/athlete=14208908
885,1:48.11,Peter Kipkorir BIWOTT,22 AUG 1976,KEN,5,,Leverkusen (GER),01 AUG 2004,1081,/athletes/athlete=14207412
892,1:48.12,Akinori MORI,04 APR 1974,JPN,2,,Oordegem (BEL),17 JUL 2004,1080,/athletes/athlete=14204600
892,1:48.12,Sherridan KIRK,11 FEB 1981,TTO,6h8,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1080,/athletes/athlete=14229035
894,1:48.13,István KERÉKJÁRTÓ,04 JAN 1982,HUN,2,,"Knoxville, TN (USA)",09 APR 2004,1080,/athletes/athlete=14196618
894,1:48.13,Andrew ELLERTON,18 NOV 1983,CAN,2,,"Columbus, OH (USA)",30 APR 2004,1080,/athletes/athlete=14174315
894,1:48.13,Mindaugas NORBUTAS,24 AUG 1976,LTU,5,,Dessau (GER),04 JUN 2004,1080,/athletes/athlete=14211499
894,1:48.13,Antoine MARTIAK,28 JAN 1983,FRA,6,,Reims (FRA),21 JUL 2004,1080,/athletes/athlete=14186332
894,1:48.13,Salvador CRESPO,21 OCT 1983,ESP,3,,Almería (ESP),01 AUG 2004,1080,/athletes/athlete=14166803
899,1:48.14,Anthony NOTEBAERT,25 SEP 1983,FRA,3,,"Tomblaine, Nancy (FRA)",03 JUN 2004,1080,/athletes/france/anthony-notebaert-014186806
899,1:48.14,Jimmy LOMBA,30 JUN 1978,FRA,7,,Bydgoszcz (POL),05 JUN 2004,1080,/athletes/athlete=14186108
,,,,,,,,,,
899,1:48.14,Roman ORAVEC,05 APR 1978,CZE,1,,Ostrava (CZE),08 JUN 2004,1080,/athletes/athlete=14168467
899,1:48.14,Peter ETOOT,17 APR 1984,KEN,5h2,,"Austin, TX (USA)",10 JUN 2004,1080,/athletes/athlete=14207710
903,1:48.15,Franck BARRÉ,15 JUL 1977,FRA,4,,"Tomblaine, Nancy (FRA)",03 JUN 2004,1079,/athletes/athlete=14183093
903,1:48.15,Steffen CO,22 MAR 1977,GER,6,,Ratingen (GER),27 JUN 2004,1079,/athletes/athlete=14191780
903,1:48.15,Rashid HABIB,09 NOV 1979,BRN,3,,La Laguna (ESP),10 JUL 2004,1079,/athletes/athlete=14175118
903,1:48.15,Jacob KOCZMAN,21 NOV 1978,USA,4sf1,,"Sacramento, CA (USA)",10 JUL 2004,1079,/athletes/athlete=14243219
903,1:48.15,Mattias CLAESSON,26 JUL 1986,SWE,1,,Stockholm (SWE),27 JUL 2004,1079,/athletes/athlete=14227451
903,1:48.15,Moise JOSEPH,27 DEC 1981,HAI,6h5,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1079,/athletes/athlete=14195812
903,1:48.15,Andrea LONGO,26 JUN 1975,ITA,1,,Sanluri (ITA),10 SEP 2004,1079,/athletes/athlete=14200678
910,1:48.16,Matthew SHONE,10 JUL 1975,GBR,1,,Solihull (GBR),22 MAY 2004,1079,/athletes/athlete=14190758
910,1:48.16,James HATCH,27 SEP 1982,USA,2h3,,"Austin, TX (USA)",10 JUN 2004,1079,/athletes/athlete=14240181
910,1:48.16,Fernando ALMEIDA,22 JUN 1981,POR,1,,Funchal (POR),11 JUL 2004,1079,/athletes/athlete=14217988
910,1:48.16,Tim CLERBOUT,13 OCT 1981,BEL,1,,Diest (BEL),11 AUG 2004,1079,/athletes/athlete=14177672
914,1:48.17,Prince MUMBA,28 AUG 1984,ZAM,6,,"Palo Alto, CA (USA)",30 APR 2004,1079,/athletes/athlete=14256437
914,1:48.17,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,3,,"Modesto, CA (USA)",08 MAY 2004,1079,/athletes/athlete=14211025
914,1:48.17,Japheth KIMUTAI,20 DEC 1978,KEN,8,,"Blankers-Koen Stadion, Hengelo (NED)",31 MAY 2004,1079,/athletes/athlete=14208141
914,1:48.17,Ferencz RIGO,1978,ROU,2,,Plovdiv (BUL),20 JUN 2004,1079,/athletes/athlete=14219513
914,1:48.17,Daniel CAULFIELD,16 OCT 1972,IRL,2,,Santry (IRL),25 JUN 2004,1079,/athletes/athlete=14198788
914,1:48.17,Tom OMEY,24 APR 1975,BEL,9,,Brasschaat (BEL),07 AUG 2004,1079,/athletes/athlete=14177389
920,1:48.18,Timothy DUNNE,22 MAY 1979,USA,1,,"Palo Alto, CA (USA)",31 MAY 2004,1078,/athletes/athlete=14236921
920,1:48.18,Ehsan MOHAJER SHOJAEI,21 MAR 1983,IRI,3,,Almaty (KAZ),05 JUN 2004,1078,/athletes/athlete=14198669
920,1:48.18,Juan de Dios JURADO,09 APR 1981,ESP,3f2,,Sevilla (ESP),05 JUN 2004,1078,/athletes/athlete=14166074
920,1:48.18,Sam BURLEY,13 FEB 1981,USA,11h2,,"Sacramento, CA (USA)",09 JUL 2004,1078,/athletes/athlete=14233840
920,1:48.18,Christian SMITH,31 OCT 1983,USA,5sf1,,"Sacramento, CA (USA)",10 JUL 2004,1078,/athletes/athlete=14251566
920,1:48.18,Nathan KAHAN,12 FEB 1971,BEL,11f2,,Heusden-Zolder (BEL),31 JUL 2004,1078,/athletes/athlete=14177481
920,1:48.18,Guillaume ÉRAUD,01 JUL 1981,FRA,5,,Merksem (BEL),04 SEP 2004,1078,/athletes/athlete=14184633
920,1:48.18,Abubaker Ali KAMAL,08 NOV 1983,QAT,13,,Rovereto (ITA),08 SEP 2004,1078,/athletes/athlete=14219053
928,1:48.19,Christoph MOORMANN,1983,GER,6,,Dessau (GER),04 JUN 2004,1078,/athletes/athlete=14193423
928,1:48.19,Daniel CAULFIELD,16 OCT 1972,IRL,6,,Eagle Rock (USA),05 JUN 2004,1078,/athletes/athlete=14198788
928,1:48.19,Dmitriy BOGDANOV,11 APR 1979,RUS,1,,Moskva (RUS),12 JUN 2004,1078,/athletes/athlete=14221856
928,1:48.19,Matthew SHONE,10 JUL 1975,GBR,3,,Santry (IRL),25 JUN 2004,1078,/athletes/athlete=14190758
928,1:48.19,Werner BOTHA,17 DEC 1985,AUS,1,,Brisbane (AUS),27 JUN 2004,1078,/athletes/athlete=14180078
928,1:48.19,Thomas MATTHYS,04 SEP 1985,BEL,1,,Tessenderlo (BEL),28 AUG 2004,1078,/athletes/athlete=14177429
934,1:48.20,Juan Carlos ESTESO,13 OCT 1976,ESP,5,,Rivas (ESP),10 JUN 2004,1078,/athletes/athlete=14166650
934,1:48.20,Trent RITER,15 JUN 1982,USA,4h1,,"Austin, TX (USA)",10 JUN 2004,1078,/athletes/athlete=14249629
934,1:48.20,Hiroshi SASANO,23 SEP 1978,JPN,1,,Shibetsu (JPN),26 JUN 2004,1078,/athletes/athlete=14205586
934,1:48.20,Andriy TOMYLIN,20 JUL 1984,UKR,1,,Yalta (UKR),04 JUL 2004,1078,/athletes/athlete=14230688
938,1:48.21,Christian NEUNHÄUSERER,21 JUN 1978,ITA,6,,Nuoro (ITA),14 JUL 2004,1078,/athletes/athlete=14200984
938,1:48.21,Mouhssin CHEHIBI,28 JAN 1978,MAR,1h3,,Sotteville-lès-Rouen (FRA),16 JUL 2004,1078,/athletes/athlete=14211969
940,1:48.22,Tom MCDONALD,,USA,6,,Erfurt (GER),13 JUN 2004,1077,/athletes/united-states/tom-mcdonald-014245497
940,1:48.22,Richard SMITH,10 FEB 1983,USA,3,,"Palo Alto, CA (USA)",20 JUN 2004,1077,/athletes/athlete=14251697
940,1:48.22,Otukile LEKOTE,19 OCT 1978,BOT,4,,Burnaby (CAN),01 JUL 2004,1077,/athletes/athlete=14176338
940,1:48.22,Volodimir KOVALYK,25 MAY 1976,UKR,2,,Yalta (UKR),04 JUL 2004,1077,/athletes/athlete=14230131
940,1:48.22,Christian KÖHLER,14 OCT 1980,GER,6,,Leverkusen (GER),01 AUG 2004,1077,/athletes/athlete=14192951
940,1:48.22,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,9,,"Olympiastadion, Berlin (GER)",12 SEP 2004,1077,/athletes/athlete=14225690
946,1:48.23,Yuriy KOLDIN,01 NOV 1983,RUS,2,,Kazan (RUS),09 JUL 2004,1077,/athletes/athlete=14222705
946,1:48.23,Nathan BRANNEN,08 SEP 1982,CAN,4,,Victoria (CAN),11 JUL 2004,1077,/athletes/athlete=14174555
946,1:48.23,Osmar BARBOSA DOS SANTOS,20 OCT 1968,BRA,22sf3,,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1077,/athletes/athlete=14176249
949,1:48.24,Jebreh HARRIS,22 SEP 1978,USA,3,,"Knoxville, TN (USA)",09 APR 2004,1077,/athletes/athlete=14240029
950,1:48.25,Wil FITTS,18 SEP 1983,USA,4,,"Palo Alto, CA (USA)",26 MAR 2004,1076,/athletes/athlete=14237780
950,1:48.25,Osmar BARBOSA DOS SANTOS,20 OCT 1968,BRA,1h1,,São Paulo (BRA),03 JUN 2004,1076,/athletes/athlete=14176249
950,1:48.25,Paweł CZAPIEWSKI,30 MAR 1978,POL,10,,Zaragoza (ESP),08 JUN 2004,1076,/athletes/athlete=14216511
950,1:48.25,Roman ORAVEC,05 APR 1978,CZE,3,,Plovdiv (BUL),20 JUN 2004,1076,/athletes/athlete=14168467
950,1:48.25,Reda AIT DOUIDA,06 DEC 1982,MAR,6,,Algiers (ALG),24 JUN 2004,1076,/athletes/athlete=14211804
950,1:48.25,Oleksandr OSMOLOVYCH,08 OCT 1985,UKR,3,,Yalta (UKR),04 JUL 2004,1076,/athletes/athlete=14230368
950,1:48.25,Sam ELLIS,23 JUN 1982,GBR,2h2,,Manchester (GBR),10 JUL 2004,1076,/athletes/athlete=14189161
950,1:48.25,Juan de Dios JURADO,09 APR 1981,ESP,4,,Almería (ESP),01 AUG 2004,1076,/athletes/athlete=14166074
950,1:48.25,Glody DUBE,02 JUL 1978,BOT,5h9,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1076,/athletes/athlete=14176357
959,1:48.26,Daniel PRESSING,23 FEB 1982,USA,1,,"Houston, TX (USA)",15 MAY 2004,1076,/athletes/athlete=14248818
959,1:48.26,Moise JOSEPH,27 DEC 1981,HAI,4,,"Gainesville, FL (USA)",29 MAY 2004,1076,/athletes/athlete=14195812
959,1:48.26,Kevin HICKS,07 NOV 1984,USA,5,,"Gainesville, FL (USA)",29 MAY 2004,1076,/athletes/athlete=14240676
959,1:48.26,Francesco RONCALLI,14 JUL 1980,ITA,1,,Firenze (ITA),11 JUL 2004,1076,/athletes/athlete=14201333
963,1:48.27,Johnny SHUPING,10 SEP 1984,RSA,3,,Cape Town (RSA),19 MAR 2004,1076,/athletes/athlete=14221142
963,1:48.27,Jae-hoon LEE,28 NOV 1976,KOR,1,,Busan (KOR),08 APR 2004,1076,/athletes/athlete=14210375
963,1:48.27,Graham DAVIDSON,14 OCT 1978,RSA,7,,Luzern (SUI),09 JUN 2004,1076,/athletes/athlete=14219884
963,1:48.27,Paul MOSER,16 FEB 1982,USA,8,,"Chapel Hill, NC (USA)",26 JUN 2004,1076,/athletes/athlete=14246693
963,1:48.27,Kennedy KIMWETICH,1973,KEN,1,,Patra (GRE),12 JUL 2004,1076,/athletes/athlete=14208154
963,1:48.27,Thomas MATTHYS,04 SEP 1985,BEL,10,,Brasschaat (BEL),07 AUG 2004,1076,/athletes/athlete=14177429
969,1:48.28,Jean BALON,14 AUG 1981,USA,7,,"Palo Alto, CA (USA)",30 APR 2004,1076,/athletes/athlete=14231910
969,1:48.28,Isaac Kipruto SANG,05 JAN 1978,KEN,1,,Rheinau-Freistett (GER),20 JUN 2004,1076,/athletes/athlete=14209746
969,1:48.28,Willy ROTICH,23 MAR 1976,KEN,1,,Pudasjärvi (FIN),24 JUN 2004,1076,/athletes/athlete=14209687
969,1:48.28,Mohamed MORO,05 MAR 1984,MAR,4,,Formia (ITA),17 JUL 2004,1076,/athletes/athlete=14200935
969,1:48.28,Erkin ISAKOV,25 NOV 1974,UZB,8h4,,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1076,/athletes/athlete=14222450
974,1:48.29,Ricky SOOS,28 JUN 1983,GBR,4,,Chania (GRE),28 JUN 2004,1075,/athletes/athlete=14190840
975,1:48.30,Graham DAVIDSON,14 OCT 1978,RSA,5,,Pretoria (RSA),20 FEB 2004,1075,/athletes/athlete=14219884
975,1:48.30,Jamale AARRASS,15 NOV 1981,FRA,1,,Bourg-en-Bresse (FRA),05 JUN 2004,1075,/athletes/athlete=14182800
975,1:48.30,Nathan KAHAN,12 FEB 1971,BEL,2,,Heverlee (BEL),05 JUN 2004,1075,/athletes/athlete=14177481
975,1:48.30,Zachary WHITMARSH,05 APR 1977,CAN,3,,Bangor (GBR),16 JUL 2004,1075,/athletes/athlete=14173311
979,1:48.31,Lukáš MUSIL,21 NOV 1979,CZE,5,,"Palo Alto, CA (USA)",26 MAR 2004,1075,/athletes/athlete=14168519
979,1:48.31,Timothy DUNNE,22 MAY 1979,USA,1,,"Bloomington, IN (USA)",07 MAY 2004,1075,/athletes/athlete=14236921
979,1:48.31,Nicholas WACHIRA,19 NOV 1982,KEN,6,,"Mangueirão, Belém (BRA)",23 MAY 2004,1075,/athletes/athlete=14209935
979,1:48.31,Anthony NOTEBAERT,25 SEP 1983,FRA,2,,Forbach (FRA),29 MAY 2004,1075,/athletes/france/anthony-notebaert-014186806
979,1:48.31,Joel KIDGER,16 MAR 1980,GBR,1h1,,Manchester (GBR),10 JUL 2004,1075,/athletes/athlete=14189809
979,1:48.31,Juha KUKKAMO,01 APR 1976,FIN,6,,Tallinn (EST),21 JUL 2004,1075,/athletes/athlete=14182115
979,1:48.31,Manuel OLMEDO,17 MAY 1983,ESP,5,,Almería (ESP),01 AUG 2004,1075,/athletes/athlete=14165520
986,1:48.32,Daniel CAULFIELD,16 OCT 1972,IRL,1,,"Emporia, KS (USA)",15 MAY 2004,1074,/athletes/athlete=14198788
986,1:48.32,Andrew ELLERTON,18 NOV 1983,CAN,1,,"Baton Rouge, LA (USA)",29 MAY 2004,1074,/athletes/athlete=14174315
986,1:48.32,Joel LEGARE,13 NOV 1982,USA,6h2,,"Austin, TX (USA)",10 JUN 2004,1074,/athletes/athlete=14243874
986,1:48.32,Neil SPEAIGHT,09 SEP 1978,GBR,2h1,,Manchester (GBR),10 JUL 2004,1074,/athletes/athlete=14190843
986,1:48.32,Thomas PLANQUE,26 APR 1979,FRA,2,,Castres (FRA),04 AUG 2004,1074,/athletes/athlete=14187087
991,1:48.33,Clyde COLENSO,11 MAY 1977,RSA,1,,Johannesburg (RSA),24 MAR 2004,1074,/athletes/athlete=14219859
991,1:48.33,Simon KIMATA,22 NOV 1976,KEN,1,,"Eugene, OR (USA)",01 MAY 2004,1074,/athletes/athlete=14208092
991,1:48.33,Kennedy KIMWETICH,1973,KEN,1,,Kalamata (GRE),29 MAY 2004,1074,/athletes/athlete=14208154
991,1:48.33,Jeff DELONG,07 NOV 1977,USA,2,,"Palo Alto, CA (USA)",31 MAY 2004,1074,/athletes/athlete=14236247
991,1:48.33,Sergey KOZHEVNIKOV,12 MAY 1970,RUS,2,,Bratislava (SVK),10 JUN 2004,1074,/athletes/athlete=14222824
991,1:48.33,David KRUMMENACKER,24 MAY 1975,USA,3,,Birmingham (GBR),25 JUL 2004,1074,/athletes/athlete=14243399
991,1:48.33,Tom OMEY,24 APR 1975,BEL,2,,Breda (NED),21 AUG 2004,1074,/athletes/athlete=14177389
998,1:48.34,Shawn ABRAHAMS,04 JUL 1970,RSA,1,,Cape Town (RSA),27 MAR 2004,1074,/athletes/athlete=14219629
998,1:48.34,Paul MOSER,16 FEB 1982,USA,6,,"Gainesville, FL (USA)",29 MAY 2004,1074,/athletes/athlete=14246693
998,1:48.34,Miguel QUESADA,18 SEP 1979,ESP,6,,Almería (ESP),01 AUG 2004,1074,/athletes/athlete=14165317
,,,,,,,,,,
1,1:43.70,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Rieti (ITA),28 AUG 2005,1213,/athletes/athlete=14207448
2,1:43.96,Yusuf Saad KAMEL,29 MAR 1983,BRN,1,,Rovereto (ITA),31 AUG 2005,1205,/athletes/athlete=14175129
3,1:44.08,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Helsinki (FIN),25 JUL 2005,1202,/athletes/athlete=14220770
4,1:44.11,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Nairobi (KEN),25 JUN 2005,1201,/athletes/athlete=14207448
5,1:44.12,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1200,/athletes/athlete=14220770
6,1:44.15,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Oslo (NOR),29 JUL 2005,1200,/athletes/athlete=14220770
7,1:44.18,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,Oslo (NOR),29 JUL 2005,1199,/athletes/athlete=14221887
7,1:44.18,Antonio Manuel REINA,13 JUN 1981,ESP,2,,Rieti (ITA),28 AUG 2005,1199,/athletes/athlete=14165281
9,1:44.22,Amine LAALOU,13 MAY 1982,MAR,1f1,,Sevilla (ESP),04 JUN 2005,1197,/athletes/athlete=14212287
10,1:44.24,Rashid RAMZI,17 JUL 1980,BRN,1,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1197,/athletes/athlete=14175117
11,1:44.26,Yusuf Saad KAMEL,29 MAR 1983,BRN,2f1,,Sevilla (ESP),04 JUN 2005,1196,/athletes/athlete=14175129
11,1:44.26,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1sf1,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1196,/athletes/athlete=14221887
11,1:44.26,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,"Olympiastadion, Berlin (GER)",04 SEP 2005,1196,/athletes/athlete=14220770
14,1:44.27,Majed Saeed SULTAN,03 NOV 1986,QAT,1,,Incheon (KOR),04 SEP 2005,1196,/athletes/athlete=14219116
15,1:44.29,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1195,/athletes/athlete=14207448
16,1:44.30,Rashid RAMZI,17 JUL 1980,BRN,2sf1,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1195,/athletes/athlete=14175117
16,1:44.30,Antonio Manuel REINA,13 JUN 1981,ESP,2,,"Olympiastadion, Berlin (GER)",04 SEP 2005,1195,/athletes/athlete=14165281
18,1:44.31,Wilfred BUNGEI,24 JUL 1980,KEN,3f1,,Sevilla (ESP),04 JUN 2005,1195,/athletes/athlete=14207448
19,1:44.32,Antonio Manuel REINA,13 JUN 1981,ESP,1f2,,Zürich (SUI),19 AUG 2005,1194,/athletes/athlete=14165281
20,1:44.33,Gary REED,25 OCT 1981,CAN,1sf3,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1194,/athletes/athlete=14173596
21,1:44.34,Belal Mansoor ALI,17 OCT 1988,BRN,1,,Conegliano (ITA),16 JUN 2005,1194,/athletes/athlete=14175141
22,1:44.36,Yusuf Saad KAMEL,29 MAR 1983,BRN,3,,"Olympiastadion, Berlin (GER)",04 SEP 2005,1193,/athletes/athlete=14175129
23,1:44.39,Mohammed Obaid AL SALHI,11 MAY 1986,KSA,1,,Lapinlahti (FIN),03 JUL 2005,1192,/athletes/athlete=14210679
24,1:44.41,Wilfred BUNGEI,24 JUL 1980,KEN,2sf3,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1192,/athletes/athlete=14207448
25,1:44.42,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Madrid (ESP),16 JUL 2005,1191,/athletes/athlete=14207448
26,1:44.45,Alfred Kirwa YEGO,28 NOV 1986,KEN,3,,Oslo (NOR),29 JUL 2005,1190,/athletes/athlete=14209993
27,1:44.46,Mouhssin CHEHIBI,28 JAN 1978,MAR,2f2,,Zürich (SUI),19 AUG 2005,1190,/athletes/athlete=14211969
28,1:44.51,William YIAMPOY,17 MAY 1974,KEN,3sf1,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1188,/athletes/athlete=14210002
28,1:44.51,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1188,/athletes/athlete=14221887
30,1:44.54,Yusuf Saad KAMEL,29 MAR 1983,BRN,3,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1188,/athletes/athlete=14175129
30,1:44.54,Gary REED,25 OCT 1981,CAN,4,,Oslo (NOR),29 JUL 2005,1188,/athletes/athlete=14173596
30,1:44.54,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1188,/athletes/athlete=14221887
33,1:44.55,William YIAMPOY,17 MAY 1974,KEN,3,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1187,/athletes/athlete=14210002
33,1:44.55,Alfred Kirwa YEGO,28 NOV 1986,KEN,3f2,,Zürich (SUI),19 AUG 2005,1187,/athletes/athlete=14209993
35,1:44.58,Yusuf Saad KAMEL,29 MAR 1983,BRN,2,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1186,/athletes/athlete=14175129
36,1:44.62,Alfred Kirwa YEGO,28 NOV 1986,KEN,1f1,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1185,/athletes/athlete=14209993
36,1:44.62,Khadevis ROBINSON,19 JUL 1976,USA,4f2,,Zürich (SUI),19 AUG 2005,1185,/athletes/athlete=14249779
38,1:44.63,Alfred Kirwa YEGO,28 NOV 1986,KEN,2,,Nairobi (KEN),25 JUN 2005,1185,/athletes/athlete=14209993
39,1:44.65,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Pretoria (RSA),18 MAR 2005,1184,/athletes/athlete=14220770
39,1:44.65,James MCILROY,30 DEC 1976,GBR,3,,Rieti (ITA),28 AUG 2005,1184,/athletes/athlete=14190092
41,1:44.67,William YIAMPOY,17 MAY 1974,KEN,4,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1184,/athletes/athlete=14210002
